 ,Area,X,Y,XM,YM,Circ.,%Area,AR,Round,Solidity
193,0.006,2.083,1.212,2.083,1.212,0.886,100.000,1.107,0.903,0.926
194,6.299E-5,4.999,1.170,4.999,1.170,0.857,100.000,2.000,0.500,0.800
195,1.575E-5,5.038,1.169,5.038,1.169,1.000,100.000,1.000,1.000,1.000
196,1.575E-5,4.740,1.185,4.740,1.185,1.000,100.000,1.000,1.000,1.000
197,1.575E-5,4.990,1.185,4.990,1.185,1.000,100.000,1.000,1.000,1.000
198,1.575E-5,5.038,1.185,5.038,1.185,1.000,100.000,1.000,1.000,1.000
199,1.260E-4,5.026,1.196,5.026,1.196,0.305,100.000,1.211,0.826,0.516
200,0.014,3.742,1.278,3.742,1.278,0.542,99.424,1.652,0.605,0.895
201,0.011,3.875,1.246,3.875,1.246,0.875,100.000,1.445,0.692,0.956
202,1.575E-5,5.038,1.192,5.038,1.192,1.000,100.000,1.000,1.000,1.000
203,1.102E-4,1.535,1.198,1.535,1.198,1.000,100.000,1.936,0.517,0.933
204,6.299E-5,5.001,1.199,5.001,1.199,0.857,100.000,2.000,0.500,0.800
205,0.008,0.412,1.249,0.412,1.249,0.935,100.000,1.058,0.945,0.950
206,0.004,4.170,1.232,4.170,1.232,0.944,100.000,1.040,0.961,0.939
207,0.006,2.567,1.246,2.567,1.246,0.860,100.000,1.209,0.827,0.929
208,0.011,1.517,1.266,1.517,1.266,0.913,100.000,1.011,0.989,0.958
209,9.448E-5,5.020,1.209,5.020,1.209,0.441,100.000,4.360,0.229,0.667
210,0.054,0.718,1.314,0.718,1.315,0.820,85.838,1.437,0.696,0.974
211,0.025,3.103,1.327,3.103,1.326,0.463,98.844,1.973,0.507,0.843
212,1.575E-5,4.506,1.216,4.506,1.216,1.000,100.000,1.000,1.000,1.000
213,0.021,3.586,1.291,3.586,1.291,0.858,97.544,1.458,0.686,0.960
214,0.012,3.266,1.283,3.266,1.283,0.885,100.000,1.237,0.809,0.956
215,0.006,4.698,1.267,4.698,1.268,0.776,99.730,1.035,0.966,0.912
216,0.011,2.678,1.292,2.678,1.292,0.889,100.000,1.197,0.836,0.951
217,0.002,4.074,1.251,4.074,1.251,0.959,100.000,1.034,0.967,0.935
218,0.028,4.528,1.328,4.529,1.328,0.878,92.137,1.187,0.842,0.963
219,0.040,0.247,1.361,0.247,1.361,0.877,97.730,1.113,0.899,0.970
220,0.014,2.907,1.304,2.907,1.304,0.907,98.150,1.164,0.859,0.964
221,0.029,1.319,1.396,1.320,1.395,0.440,97.796,2.272,0.440,0.812
222,0.028,4.325,1.360,4.325,1.360,0.744,97.012,1.812,0.552,0.951
223,0.036,1.705,1.408,1.705,1.409,0.812,91.924,1.575,0.635,0.953
224,0.027,4.843,1.404,4.844,1.404,0.889,77.948,1.270,0.788,0.965
225,0.020,0.488,1.394,0.488,1.394,0.470,99.922,1.823,0.548,0.842
226,0.019,2.538,1.406,2.538,1.406,0.839,99.919,1.411,0.708,0.955
227,0.025,3.470,1.418,3.470,1.419,0.841,92.142,1.130,0.885,0.960
228,0.014,3.999,1.408,3.999,1.408,0.890,100.000,1.178,0.849,0.958
229,0.007,0.924,1.400,0.924,1.400,0.885,100.000,1.220,0.820,0.939
230,0.019,2.768,1.437,2.768,1.437,0.863,96.780,1.451,0.689,0.965
231,0.005,4.697,1.415,4.698,1.415,0.463,94.044,1.937,0.516,0.850
232,0.015,3.273,1.437,3.273,1.437,0.890,99.793,1.189,0.841,0.961
233,0.005,3.891,1.423,3.891,1.423,0.543,99.315,1.990,0.503,0.888
234,0.024,2.083,1.526,2.084,1.526,0.724,97.739,1.917,0.522,0.949
235,0.047,3.770,1.522,3.764,1.520,0.694,81.379,1.852,0.540,0.890
236,0.010,2.911,1.471,2.911,1.471,0.869,100.000,1.177,0.849,0.939
237,0.025,1.485,1.510,1.485,1.510,0.870,94.151,1.505,0.664,0.961
238,0.012,1.890,1.474,1.890,1.474,0.796,100.000,1.538,0.650,0.929
239,1.575E-5,4.724,1.423,4.724,1.423,1.000,100.000,1.000,1.000,1.000
240,0.019,1.024,1.507,1.024,1.507,0.850,100.000,1.495,0.669,0.959
241,0.012,2.215,1.508,2.215,1.508,0.909,100.000,1.041,0.961,0.957
